"pdfPage","exactOcrText","fuzzyCandidates","currentBundledRepresentation","currentFirestoreRepresentation","printedDistrictMapping","confidence","reasonAmbiguous","suggestedResolution","reviewStatus"
"3","lellmanns Plads I Rwanq Øst","Langelands Plads | Bellmans Plads | Bellmansgade","","not captured per candidate in completed read-only audit","Ryvang Øst","0.759","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"3","lellmansaade I Rwana Øst","Eliasgade | Bellmansgade | Bellmans Plads","","not captured per candidate in completed read-only audit","Ryvang Øst","0.700","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"3","leraensaade I Indre Østerbro","Letlandsgade | Bergensgade | Carstensgade","","not captured per candidate in completed read-only audit","Indre Østerbro","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"4","Mågårdsgade I Indre Nørrebro","Laplandsgade | Midgårdsgade | Rådmandsgade","","not captured per candidate in completed read-only audit","Indre Nørrebro","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"4","lodilsgade I Vesterbro","Lodsgården | Odinsgade | Heilsgade","","not captured per candidate in completed read-only audit","Vesterbro","0.800","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"4","Boeslundevei I Brønshøi/Husum","Boeslundevej | Bomsluttervej | Elmelundevej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.917","audit status: rule_or_exception","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"4","Boaenseqade I Indre Østerbro","Bogensegade | Odensegade | Boyesgade","","not captured per candidate in completed read-only audit","Indre Østerbro","0.818","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"4","loaenæsvei I Brønshøi/Husum","Lollandsvej | Basnæsvej | Arnesvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.667","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"5","Borthiasaade I Ydre Østerbro","Borthigsgade | Porthusgade | Bartholinsgade","","not captured per candidate in completed read-only audit","Ydre Østerbro","0.833","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"5","loserupvei I Brønshøi/Husum","Otterupvej | Ågerupvej | Astrupvej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.737","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"5","*ragesgade I Ydre Nørrebro","Rigensgade | Ryesgade | Ragnagade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.842","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"5","Bramminaeaade I Indre Østerbro","Brammingegade | Kertemindegade | Admiralgade","","not captured per candidate in completed read-only audit","Indre Østerbro","0.846","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"5","Bratskovei I Vanløse","Bratskovvej | Gribskovvej | Bakkevej","","not captured per candidate in completed read-only audit","Vanløse","0.857","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"6","Brvaaerhesten I Vesterbro","Bryggerhesten | Ringertoften | Svanestien","","not captured per candidate in completed read-only audit","Vesterbro","0.769","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"6","Brønshøj Kirkevej I Brønshøj/Husum","Brønshøj Kirkevej | Brønshøjvej | Hans Kirks Vej","","not captured per candidate in completed read-only audit","Brønshøj/Husum","1.000","audit status: rule_or_exception","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"6","Brønshøj Torv I Brønshøj/Husum","Brønshøj Torv | Brønshøjvej | Hf. Brønshøjholm","","not captured per candidate in completed read-only audit","Brønshøj/Husum","1.000","audit status: rule_or_exception","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"6","Brønshøiholms Allé I Brønshøi/Husum","Brønshøjholms Allé | Hf. Brønshøjholm | Hjortholms Allé","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.941","audit status: rule_or_exception","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"6","luntmaaervei I Bispebierq","Buntmagervej | Fuglagerv ej | Vestagervej","","not captured per candidate in completed read-only audit","Bispebjerg","0.833","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"7","Bytinaet I Brønshøi/Husum","Bytinget | Baltikavej | Banevingen","","not captured per candidate in completed read-only audit","Brønshøj/Husum","0.750","audit status: rule_or_exception; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"7","Bødkervej I Bispebjerg","Brøndkærvej | Bakkevej | Rødkløvervej","","not captured per candidate in completed read-only audit","Bispebjerg","0.800","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"8","'p. J. Frandsens Vej I Bispebjerg","P. Andersens Vej | Johan Svendsens Vej | A. L. Drewesens Vej","","not captured per candidate in completed read-only audit","Bispebjerg","0.815","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"8",":orkgade I Indre Østerbro","Ourøgade | Sorøgade | Korsgade","","not captured per candidate in completed read-only audit","Indre Østerbro","0.800","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"8","',ort Adelers Gade I Indre Bv","Odesagade | Allersgade | Randersgade","","not captured per candidate in completed read-only audit","Indre By","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"9",")reiervei I Bispebiera","Remisevej | Rebildvej | Aggervej","","not captured per candidate in completed read-only audit","Bispebjerg","0.706","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"9",")ronningens Tværgade I Indre By","Rumæniensgade | Odins Tværgade | Ringstedgade","","not captured per candidate in completed read-only audit","Indre By","0.645","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"9",")ronninalundvei I Vanløse","Rosenlundsvej | Rønningsvej | Skibelundvej","","not captured per candidate in completed read-only audit","Vanløse","0.667","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"9",")unkeraueqade I Indre Østerbro","Ukrainegade | Ullerupgade | Anker Heegaards Gade","","not captured per candidate in completed read-only audit","Indre Østerbro","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"10","Eaeaade I Indre Nørrebro","Egegade | Elmegade | Ryegade","","not captured per candidate in completed read-only audit","Indre Nørrebro","0.714","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"10",".:mdrup Vænae I Ydre Østerbro","Møldrupvej | Emdrup Vænge | Hf. Emdrupvænge","","not captured per candidate in completed read-only audit","Ydre Østerbro","0.700","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"11","iwaldsgade I Indre Nørrebro","Isafjordsgade | Alsgade | Staldgade","","not captured per candidate in completed read-only audit","Indre Nørrebro","0.696","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"12",":ladstjernevej I Bispebjerg","Lanternestien | Fladstjernevej | Pragstjernevej","","not captured per candidate in completed read-only audit","Bispebjerg","0.643","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"12",":lorsgade I Indre Nørrebro","Lerfosgade | Florsgade | Korsgade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.778","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"13",":rejasgade I Ydre Nørrebro","Rejsbygade | Frejasgade | Grenågade","","not captured per candidate in completed read-only audit","Indre Nørrebro","0.762","audit status: uncertain; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"15","3danskaade I Indre Østerbro","Gdanskgade | Tornskadestien | Askgade","","not captured per candidate in completed read-only audit","Ydre Østerbro","0.696","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
"15",")ilbierggade I Ydre Nørrebro","Gilbjerggade | Sandbjerggade | Viborggade","","not captured per candidate in completed read-only audit","Ydre Nørrebro","0.815","audit status: rule_or_exception; possible range/parity/postcode text; street OCR below auto-approval threshold","Visually inspect the cited PDF row; confirm exact printed spelling, district, and every condition before approval.","pending"
